  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727976 24217 201801010053 350   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   22 1025.8 30.26 ****** *** *** ***** ***** ***** ***** **
727976 24217 201801010153 360  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   21 1025.9 30.27 ****** *** *** ***** ***** ***** ***** **
727976 24217 201801010253 010  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   21 1025.9 30.26 ****** *** *** ***** ***** ***** ***** **
727976 24217 201801010353 010  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   21 1026.3 30.28 ****** *** *** ***** ***** ***** ***** **
727976 24217 201801010453 010  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   20 1026.6 30.29 ****** *** *** ***** ***** ***** ***** **
727976 24217 201801010553 010  13  20 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28   19 1027.0 30.30 ******  32  28 ***** ***** ***** ***** **
727976 24217 201801010653 010   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28   19 1027.7 30.32 ****** *** *** ***** ***** ***** ***** **
727976 24217 201801010753 010   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   19 1028.0 30.33 ******  35  27 ***** ***** ***** ***** **
727976 24217 201801010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  35  27 ***** *****  0.00 ***** **
727976 24217 201801010853 010   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   19 1028.3 30.34 1021.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201801010953 360   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   19 1029.1 30.36 1022.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201801011053 360   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   18 1029.0 30.36 1022.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201801011153 360   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   19 1029.5 30.37 1022.9  28  26  0.00 ***** ***** ***** **
727976 24217 201801011253 360   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   18 1029.5 30.37 1022.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201801011353 010  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   18 1030.3 30.39 1023.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201801011453 010   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   17 1030.8 30.41 1024.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801011553 010   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   18 1031.0 30.42 1024.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201801011653 010   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28   19 1031.2 30.42 1024.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201801011753 010   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   19 1031.8 30.44 1025.2  30  26  0.00 ***** ***** ***** **
727976 24217 201801011853 010  14 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   20 1032.2 30.45 1025.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201801011953 010  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   20 1031.9 30.44 1025.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801012053 020  15 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   21 1031.4 30.43 1024.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201801012153 010  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   22 1031.6 30.43 1024.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201801012253 360   9  18 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   22 1031.9 30.44 1025.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801012353 360  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   22 1032.1 30.45 1025.6  35  29  0.00 ***** ***** ***** **
727976 24217 201801020053 360  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   22 1032.4 30.46 1025.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201801020153 010  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   22 1032.5 30.46 1025.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201801020253 010   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   21 1032.0 30.44 1025.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801020353 010   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   21 1031.8 30.44 1025.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801020453 010  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   21 1032.0 30.45 1025.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201801020553 010   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   21 1031.8 30.44 1025.2  32  28  0.00 ***** ***** ***** **
727976 24217 201801020653 010   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   21 1032.0 30.45 1025.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201801020753 010   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   22 1032.0 30.45 1025.6  35  26  0.00 ***** ***** ***** **
727976 24217 201801020759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  35  26 ***** *****  0.00 *****  0
727976 24217 201801020853 010  11  18 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   21 1032.0 30.45 1025.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201801020953 010   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   22 1032.1 30.45 ****** *** *** ***** ***** ***** ***** **
727976 24217 201801021053 360   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   22 1032.0 30.45 1025.6 *** ***  0.00 ***** ***** ***** **
727976 24217 201801021153 010   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   21 1031.5 30.43 1024.9  30  29  0.00 ***** ***** ***** **
727976 24217 201801021253 360   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   22 1031.2 30.42 1024.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201801021353 010   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   22 1030.6 30.40 1023.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201801021453 350   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   22 1030.4 30.40 1023.9 *** ***  0.00 ***** ***** ***** **
727976 24217 201801021553 010   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   23 1029.7 30.38 1023.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801021653 010   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   23 1029.6 30.38 1023.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801021753 010   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   33   24 1029.9 30.38 1023.2  33  29  0.00 ***** ***** ***** **
727976 24217 201801021853 010   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   25 1029.7 30.38 1023.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801021953 360  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   25 1028.7 30.35 1022.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801022053 020  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   26 1028.3 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201801022153 360   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   27 1027.5 30.31 1020.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201801022253 010   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   27 1027.1 30.30 1020.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201801022353 360   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   27 1026.7 30.29 1020.2  37  33  0.00 ***** ***** ***** **
727976 24217 201801030053 350   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   29 1026.6 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201801030153 360   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   28 1026.4 30.28 1019.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201801030253 030   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   27 1026.4 30.28 1019.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201801030353 360   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   34   27 1026.3 30.28 1019.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201801030453 020   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   27 1026.0 30.27 1019.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201801030553 360   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   26 1025.7 30.26 1019.2  36  32  0.00 ***** ***** ***** **
727976 24217 201801030653 010   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   26 1025.5 30.25 1018.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201801030753 360   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   26 1025.5 30.25 1018.8  37  29  0.00 ***** ***** ***** **
727976 24217 201801030759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  37  29 ***** *****  0.00 *****  0
