  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727976 24217 201201010053 360   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   30 1029.0 30.36 1022.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201201010153 350   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   29 1028.1 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201201010253 010   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   29 1027.7 30.32 1021.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201201010353 020   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   27 1026.8 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201201010453 010   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   26 1026.8 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201201010553 010   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   25 1026.9 30.30 1020.5  39  36  0.00 ***** ***** ***** **
727976 24217 201201010653 030   9 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   38   24 1027.2 30.31 1020.8 *** ***  0.00 ***** ***** ***** **
727976 24217 201201010753 020   8 *** 100 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   38   24 1027.0 30.30 1020.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201201010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  44  32 ***** *****  0.00 ***** **
727976 24217 201201010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727976 24217 201201010853 ***   0 ***  90 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   39   23 1027.1 30.30 1020.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201201010953 ***   0 ***  55 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   38   25 1027.8 30.32 1021.2 *** ***  0.00 ***** ***** ***** **
727976 24217 201201011053 330   3 ***  50 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   38   26 1028.0 30.33 1021.5 *** ***  0.00 ***** ***** ***** **
727976 24217 201201011153 020  10 ***  42 OVC * * * 10.0 ** ** ** ** 61 ** ** ** *   38   27 1027.8 30.32 1021.2  39  36  0.00T 0.00T***** ***** **
727976 24217 201201011253 020  10 ***  65 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   39   28 1027.3 30.31 1020.8 *** ***  0.00T***** ***** ***** **
727976 24217 201201011353 030  11 ***  80 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   40   26 1026.7 30.29 1020.2 *** ***  0.00 ***** ***** ***** **
