  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727937 24222 201001010002 990   6 ***   5 OVC * * *  2.5 61 10 ** ** 61 10 ** ** *   41   39 ****** 29.77  986.2 *** ***  0.00T***** ***** ***** **
727937 24222 201001010013 990   5 ***   2 OVC * * *  1.5 61 10 ** ** 61 10 ** ** *   41   39 ****** 29.77  986.2 *** ***  0.00T***** ***** ***** **
727937 24222 201001010053 990   6 ***   4 OVC * * *  2.0 61 10 ** ** 61 10 ** ** *   42   40 1008.8 29.78  986.5 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010100 150   8 ***   4 OVC * * *  3.0 61 10 ** ** 61 10 ** ** *   43   39 ****** 29.78  986.5 *** ***  0.00T***** ***** ***** **
727937 24222 201001010139 150  11 ***   4 OVC * * *  2.5 61 10 ** ** 61 10 ** ** *   43   41 ****** 29.79  986.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010153 150  14 ***   4 OVC * * *  2.5 61 10 ** ** 61 10 ** ** *   43   41 1009.1 29.79  986.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010203 150  16 ***  23 OVC * * *  3.0 61 10 ** ** 61 10 ** ** *   43   41 ****** 29.79  986.8 *** ***  0.00T***** ***** ***** **
727937 24222 201001010216 150  13  21  48 OVC * * *  2.5 61 10 ** ** 61 10 ** ** *   43   41 ****** 29.79  986.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010223 150  15  22  25 OVC * * *  2.5 61 10 ** ** 61 10 ** ** *   43   41 ****** 29.79  986.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010242 150  11 ***  40 OVC * * *  2.5 61 10 ** ** 61 10 ** ** *   43   41 ****** 29.78  986.5 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010245 150  10 ***  40 OVC * * *  3.0 61 10 ** ** 61 10 ** ** *   43   41 ****** 29.79  986.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010253 150   9  16  23 OVC * * *  4.0 61 10 ** ** 61 10 ** ** *   43   41 1008.9 29.79  986.8 *** ***  0.01 ***** *****  0.03 **
727937 24222 201001010301 150  15  20   3 OVC * * *  4.0 61 10 ** ** 61 10 ** ** *   43   41 ****** 29.78  986.5 *** ***  0.00T***** ***** ***** **
727937 24222 201001010337 160  15 ***  46 OVC * * *  3.0 61 10 ** ** 61 10 ** ** *   43   43 ****** 29.80  987.2 *** ***  0.00T***** ***** ***** **
727937 24222 201001010353 160  17 ***  47 OVC * * *  4.0 61 10 ** ** 61 10 ** ** *   44   42 1009.4 29.80  987.2 *** ***  0.00T***** ***** ***** **
727937 24222 201001010420 160  15 ***  27 OVC * * *  3.0 61 10 ** ** 61 10 ** ** *   45   43 ****** 29.80  987.2 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010437 160  17 ***   2 OVC * * *  5.0 10 ** ** ** 10 ** ** ** *   45   43 ****** 29.79  986.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010453 170  17  26   2 OVC * * *  3.0 61 10 ** ** 61 10 ** ** *   45   43 1009.0 29.79  986.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010514 170  17 ***  15 OVC * * *  4.0 ** ** ** ** 61 10 ** ** *   46   45 ****** 29.79  986.8 *** ***  0.00T***** ***** ***** **
727937 24222 201001010526 170  15 ***   2 OVC * * *  2.5 ** ** ** ** 61 10 ** ** *   46   45 ****** 29.80  987.2 *** ***  0.00T***** ***** ***** **
727937 24222 201001010533 170  17 ***  15 OVC * * *  3.0 ** ** ** ** 61 10 ** ** *   46   45 ****** 29.80  987.2 *** ***  0.00T***** ***** ***** **
727937 24222 201001010553 170  16 ***  25 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   46   45 1009.3 29.80  987.2  46  41  0.00T 0.04 ***** ***** **
727937 24222 201001010640 170  21 ***  60 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   48   46 ****** 29.81  987.5 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010653 170  17  26  55 BKN * * *  8.0 ** ** ** ** ** ** ** ** *   48   46 1010.0 29.82  987.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001010753 170  15  24  36 OVC * * *  4.0 ** ** ** ** 61 10 ** ** *   48   46 1010.3 29.83  988.2 *** ***  0.00T***** ***** ***** **
727937 24222 201001010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  48  39 ***** *****  0.08 ***** **
727937 24222 201001010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 24222 201001010853 160  16 ***  47 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   48   45 1009.6 29.81  987.5 *** ***  0.00T***** *****  0.01 **
727937 24222 201001010908 160  16 ***  47 BKN * * *  9.1 ** ** ** ** ** ** ** ** *   46   45 ****** 29.80  987.2 *** *** ***** ***** ***** ***** **
727937 24222 201001010917 160  16 ***   8 BKN * * *  8.0 ** ** ** ** ** ** ** ** *   46   45 ****** 29.80  987.2 *** *** ***** ***** ***** ***** **
727937 24222 201001010948 160  15  22   4 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   46   46 ****** 29.81  987.5 *** *** ***** ***** ***** ***** **
727937 24222 201001010953 150  14  20   2 BKN * * *  7.0 ** ** ** ** ** ** ** ** *   47   46 1009.4 29.80  987.2 *** ***  0.00 ***** ***** ***** **
727937 24222 201001011053 150   7 ***   4 OVC * * *  9.1 ** ** ** ** ** ** ** ** *   47   45 1009.4 29.80  987.2 *** ***  0.00 ***** ***** ***** **
727937 24222 201001011108 990   5 ***  15 OVC * * *  8.0 ** ** ** ** ** ** ** ** *   46   45 ****** 29.79  986.8 *** *** ***** ***** ***** ***** **
727937 24222 201001011127 140   7 ***  33 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   45 ****** 29.78  986.5 *** ***  0.00T***** ***** ***** **
727937 24222 201001011146 150  10 ***  15 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   45 ****** 29.77  986.2 *** ***  0.00T***** ***** ***** **
727937 24222 201001011151 150   8 ***   7 OVC * * * 10.0 ** ** ** ** 61 ** ** ** *   46   45 ****** 29.77  986.2 *** *** ***** ***** ***** ***** **
727937 24222 201001011153 150   9 ***   7 OVC * * * 10.0 ** ** ** ** 61 ** ** ** *   47   45 1008.1 29.76  985.8  49  46  0.01  0.01  0.08 ***** **
727937 24222 201001011233 120  13  17  11 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   45   43 ****** 29.72  984.5 *** ***  0.02 ***** ***** ***** **
727937 24222 201001011246 120  10  22  60 OVC * * *  8.0 ** ** ** ** 61 ** ** ** *   45   43 ****** 29.72  984.5 *** ***  0.03 ***** ***** ***** **
727937 24222 201001011253 130   8  20  44 OVC * * *  7.0 ** ** ** ** 61 ** ** ** *   44   42 1006.6 29.72  984.5 *** ***  0.02 ***** ***** ***** **
727937 24222 201001011324 990   8 ***  43 OVC * * *  2.5 ** ** ** ** 61 10 ** ** *   45   43 ****** 29.71  984.2 *** ***  0.09 ***** ***** ***** **
727937 24222 201001011331 170  13  23  40 OVC * * *  9.1 ** ** ** ** 61 ** ** ** *   46   43 ****** 29.71  984.2 *** ***  0.10 ***** ***** ***** **
727937 24222 201001011338 170  17  22  26 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   43 ****** 29.70  983.8 *** ***  0.10 ***** ***** ***** **
727937 24222 201001011348 170  20  29 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   46   45 ****** 29.70  983.8 *** ***  0.10 ***** ***** ***** **
727937 24222 201001011353 180  22  29 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   48   45 1006.2 29.71  984.2 *** ***  0.10 ***** ***** ***** **
727937 24222 201001011453 180  16 ***  75 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   49   45 1007.0 29.73  984.8 *** ***  0.00T***** *****  0.13 **
727937 24222 201001011521 180   8 ***  11 OVC * * *  5.0 63 10 ** ** 62 10 ** ** *   48   46 ****** 29.74  985.2 *** ***  0.03 ***** ***** ***** **
727937 24222 201001011529 180  21  29  26 OVC * * *  8.0 61 ** ** ** 61 ** ** ** *   48   45 ****** 29.73  984.8 *** ***  0.03 ***** ***** ***** **
727937 24222 201001011544 180  29  37  41 OVC * * *  8.0 61 ** ** ** 61 ** ** ** *   48   45 ****** 29.72  984.5 *** ***  0.04 ***** ***** ***** **
727937 24222 201001011553 180  25  34  41 OVC * * * 10.0 61 ** ** ** 61 ** ** ** *   49   44 1006.7 29.72  984.5 *** ***  0.05 ***** ***** ***** **
727937 24222 201001011653 170  15  22  48 OVC * * * 10.0 61 ** ** ** 61 ** ** ** *   49   45 1007.0 29.73  984.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001011727 160  17  26  21 OVC * * * 10.0 61 ** ** ** 61 ** ** ** *   48   45 ****** 29.73  984.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001011751 160  21  32  40 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   48   45 ****** 29.73  984.8 *** ***  0.01 ***** ***** ***** **
727937 24222 201001011753 170  23  32  40 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   49   45 1006.6 29.72  984.5  50  44  0.01  0.20 ***** ***** **
727937 24222 201001011853 180  25  36  40 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   50   44 1007.0 29.73  984.8 *** ***  0.00T***** ***** ***** **
727937 24222 201001011953 180  25  36  34 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   51   43 1007.1 29.74  985.2 *** ***  0.00T***** ***** ***** **
727937 24222 201001012005 180  32  40  27 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   52   43 ****** 29.74  985.2 *** *** ***** ***** ***** ***** **
727937 24222 201001012040 180  26  39  37 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   52   43 ****** 29.73  984.8 *** *** ***** ***** ***** ***** **
727937 24222 201001012053 180  25  39  39 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   51   43 1006.8 29.73  984.8 *** ***  0.00 ***** *****  0.00T**
727937 24222 201001012126 170  20  31  25 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   50   43 ****** 29.73  984.8 *** *** ***** ***** ***** ***** **
727937 24222 201001012153 180  22  32  25 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   50   43 1007.1 29.74  985.2 *** ***  0.00 ***** ***** ***** **
727937 24222 201001012253 180  26  36  20 OVC * * *  7.0 61 ** ** ** 61 ** ** ** *   49   44 1007.4 29.75  985.5 *** ***  0.03 ***** ***** ***** **
727937 24222 201001012351 180  23  32  35 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   48   43 ****** 29.75  985.5 *** *** ***** ***** ***** ***** **
727937 24222 201001012353 180  26  34  33 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   47   43 1007.6 29.75  985.5  51  47  0.01  0.04 ***** ***** **
727937 24222 201001020016 180  24  34  28 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   43 ****** 29.76  985.8 *** *** ***** ***** ***** ***** **
727937 24222 201001020045 180  25  34  12 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   43 ****** 29.78  986.5 *** *** ***** ***** ***** ***** **
727937 24222 201001020053 180  25 ***  14 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   47   43 1008.9 29.79  986.8 *** ***  0.00 ***** ***** ***** **
727937 24222 201001020105 180  22  29   9 OVC * * *  9.1 ** ** ** ** ** ** ** ** *   46   43 ****** 29.79  986.8 *** *** ***** ***** ***** ***** **
727937 24222 201001020127 180  23  32  12 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   45 ****** 29.79  986.8 *** *** ***** ***** ***** ***** **
727937 24222 201001020151 180  28  37  15 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   45 ****** 29.80  987.2 *** *** ***** ***** ***** ***** **
727937 24222 201001020153 180  26  37  10 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   47   44 1009.4 29.81  987.5 *** ***  0.00 ***** ***** ***** **
727937 24222 201001020234 190  26  39  15 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   48   45 ****** 29.82  987.8 *** *** ***** ***** ***** ***** **
727937 24222 201001020253 190  28  36  15 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   48   44 1010.2 29.83  988.2 *** ***  0.00 ***** ***** ***** **
727937 24222 201001020341 190  24  34  14 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   48   43 ****** 29.86  989.2 *** *** ***** ***** ***** ***** **
727937 24222 201001020353 180  26  36  14 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   48   43 1011.7 29.87  989.5 *** ***  0.00 ***** ***** ***** **
727937 24222 201001020450 180  29  37  90 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   43 ****** 29.88  989.8 *** *** ***** ***** ***** ***** **
727937 24222 201001020453 190  26  38  90 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   47   43 1012.0 29.88  989.8 *** ***  0.00 ***** ***** ***** **
727937 24222 201001020529 190  28  33  15 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   43 ****** 29.89  990.2 *** *** ***** ***** ***** ***** **
727937 24222 201001020553 190  26  41  15 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   47   43 1012.5 29.90  990.5  48  47  0.00 ***** ***** ***** **
727937 24222 201001020618 190  24  34  13 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   43 ****** 29.92  991.2 *** *** ***** ***** ***** ***** **
727937 24222 201001020653 190  28  37  13 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   47   43 1014.3 29.95  992.2 *** ***  0.00 ***** ***** ***** **
727937 24222 201001020708 190  29  40  15 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   46   43 ****** 29.95  992.2 *** *** ***** ***** ***** ***** **
727937 24222 201001020753 190  25  36  15 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   47   43 1014.8 29.96  992.5 *** ***  0.00 ***** ***** ***** **
