  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727976 24217 198601010000 180   9 ***  20 OVC * * *  4.0 61 45 ** ** ** ** ** ** *   40   36 1016.6 30.01 ******  40 *** *****  0.04 ***** ***** **
727976 24217 198601010100 170  17 ***  14 OVC * * *  4.0 61 45 ** ** ** ** ** ** *   40   36 1016.2 30.00 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601010200 160   9 ***  17 OVC * * *  4.0 61 45 ** ** ** ** ** ** *   40   35 1015.6 29.98 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601010300 140   9 ***  15 OVC * * *  4.0 61 45 ** ** ** ** ** ** *   41   36 1014.9 29.96 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601010400 140  15 ***  18 OVC * * *  5.0 45 ** ** ** ** ** ** ** *   41   36 1014.5 29.95 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601010500 170  11 ***  18 OVC * * *  7.0 00 ** ** ** ** ** ** ** *   42   35 1013.8 29.93 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601010600 150  16 ***  25 OVC * * * 12.0 00 ** ** ** ** ** ** ** *   42   35 1012.1 29.89 ******  42 *** *****  0.02 ***** ***** **
727976 24217 198601010700 160   9 ***  27 OVC * * * 12.0 00 ** ** ** ** ** ** ** *   43   36 1011.3 29.86 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601010800 150  14  23  29 OVC * * * 12.0 61 ** ** ** ** ** ** ** *   43   35 1010.2 29.83 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601010900 180  14 ***  22 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   43   35 1008.3 29.77 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601011000 180  13 ***  22 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   43   35 1006.9 29.73 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601011100 170  17 ***  20 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   43   36 1005.9 29.70 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601011200 170  14  23  21 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   43   36 1004.5 29.66 ****** ***  40 *****  0.02  0.08 ***** **
727976 24217 198601011300 170  15  25  21 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   43   36 1003.1 29.62 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601011400 170  17 ***  20 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   43   35 1002.5 29.60 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601011500 170  18  32  20 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   42   36 1002.5 29.60 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601011600 190  20  32  20 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   43   38 1003.1 29.62 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601011635 190  17  29  13 OVC * * * 15.0 00 ** ** ** ** ** ** ** * **** **** ****** 29.65 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601011700 210  22 ***  44 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   45   39 1004.9 29.67 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601011800 210  17  29  59 BKN * * * 20.0 00 ** ** ** ** ** ** ** *   45   38 1007.0 29.73 ****** *** *** *****  0.00 ***** ***** **
727976 24217 198601011900 220  17  29  79 OVC * * * 25.0 00 ** ** ** ** ** ** ** *   46   38 1008.0 29.76 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601012000 230  23  33  25 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   46   37 1009.0 29.79 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601012100 220  17  29  25 OVC * * * 20.0 00 ** ** ** ** ** ** ** *   46   36 1010.1 29.83 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601012200 250  14  23  25 OVC * * * 20.0 00 ** ** ** ** ** ** ** *   46   35 1011.9 29.88 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601012300 240  11 ***  30 BKN * * * 30.0 00 ** ** ** ** ** ** ** *   47   34 1013.5 29.93 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601020000 210   9 *** 722 SCT * * * 30.0 00 ** ** ** ** ** ** ** *   45   33 1015.8 29.98 ******  47 *** *****  0.00 ***** ***** **
727976 24217 198601020100 200   8 *** 722 SCT * * * 20.0 00 ** ** ** ** ** ** ** *   43   32 1016.8 30.02 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601020200 190  11 ***  39 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   43   33 1017.8 30.05 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601020300 220  14 ***  39 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   43   32 1018.4 30.07 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601020400 190  10 ***  39 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   42   33 1018.7 30.08 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601020500 210  10 *** 197 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   41   33 1019.0 30.09 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601020600 210  14 ***  45 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   43   33 1019.0 30.09 ******  47 *** *****  0.00 ***** ***** **
727976 24217 198601020700 190   9 ***  98 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   42   32 1018.7 30.08 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601020800 190  17 ***  98 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   42   33 1018.7 30.08 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601020900 180   8 ***  98 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   41   32 1018.5 30.07 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601021000 160   7 ***  98 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   41   31 1017.5 30.04 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601021100 170   3 *** 246 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   37   31 1016.8 30.02 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601021200 140   6 *** 722 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   40   29 1015.7 29.99 ****** ***  37 *****  0.00  0.08 ***** **
727976 24217 198601021300 060   8 *** 246 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   36   30 1015.1 29.97 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601021400 050   7 ***  98 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   36   30 1013.7 29.93 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601021500 040   8 ***  98 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   36   30 1012.7 29.90 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601021600 020   8 ***  49 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   35   30 1011.7 29.87 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601021700 050  10 *** 207 OVC * * * 20.0 00 ** ** ** ** ** ** ** *   35   30 1011.1 29.85 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601021800 070   9 ***  59 OVC * * * 50.0 00 ** ** ** ** ** ** ** *   38   29 1010.2 29.83 ****** ***  37 *****  0.00 ***** ***** **
727976 24217 198601021900 060   8 ***  49 OVC * * * 20.0 00 ** ** ** ** ** ** ** *   40   30 1009.3 29.80 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601022000 050  13 ***  34 OVC * * * 20.0 00 ** ** ** ** ** ** ** *   40   30 1006.8 29.73 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601022100 060   9 ***  17 OVC * * *  6.0 61 ** ** ** ** ** ** ** *   41   39 1005.8 29.70 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601022134 070   7 ***  15 OVC * * *  4.0 61 45 ** ** ** ** ** ** * **** **** ****** 29.67 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601022200 060   8 ***  15 OVC * * *  4.0 61 45 ** ** ** ** ** ** *   38   33 1004.9 29.67 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601030000 020   6 ***  12 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   37   33 1005.2 29.68 ******  41 *** *****  0.24 ***** ***** **
727976 24217 198601030100 050   9 ***  12 OVC * * *  7.0 00 ** ** ** ** ** ** ** *   37   33 1005.5 29.69 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601030200 060  10 ***  22 OVC * * *  5.0 61 ** ** ** ** ** ** ** *   37   33 1006.2 29.71 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601030300 030   9 ***  22 OVC * * *  7.0 00 ** ** ** ** ** ** ** *   37   33 1006.5 29.72 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601030400 040   8 ***  25 OVC * * *  5.0 61 ** ** ** ** ** ** ** *   37   34 1007.2 29.74 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601030500 040  11 ***  13 OVC * * *  5.0 61 ** ** ** ** ** ** ** *   37   33 1007.9 29.76 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601030600 040   9 ***  18 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   37   33 1008.9 29.79 ******  43 *** *****  0.08 ***** ***** **
727976 24217 198601030700 030   9 ***  14 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   37   33 1010.3 29.83 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601030800 040   8 ***  15 OVC * * *  5.0 61 ** ** ** ** ** ** ** *   37   33 1011.7 29.87 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601030900 020   9 ***  17 OVC * * *  5.0 61 ** ** ** ** ** ** ** *   37   33 1013.0 29.91 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601031000 060   7 ***  18 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   37   33 1014.1 29.94 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601031100 010   6 ***  18 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   36   33 1016.2 30.00 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601031200 070   3 ***  27 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   36   32 1017.1 30.03 ****** ***  36 *****  0.04  0.35 ***** **
727976 24217 198601031300 010   7 ***   7 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   36   33 1018.5 30.07 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601031400 050   7 ***  10 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   36   32 1019.6 30.10 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601031500 040   7 ***  16 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   36   32 1020.6 30.13 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601031600 050   6 ***  16 OVC * * * 20.0 00 ** ** ** ** ** ** ** *   36   32 1021.9 30.17 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601031700 020   6 ***  16 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   37   32 1023.2 30.21 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601031800 030   5 ***  16 OVC * * *  7.0 00 ** ** ** ** ** ** ** *   37   32 1024.5 30.25 ****** ***  36 *****  0.00 ***** ***** **
727976 24217 198601031900 020   6 ***  16 OVC * * *  7.0 00 ** ** ** ** ** ** ** *   37   34 1025.5 30.28 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601032000 040   7 ***  16 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   38   34 1025.5 30.28 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601032100 030   8 ***  30 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   40   34 1025.5 30.38 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601032200 040   9 *** 722 BKN * * * 10.0 00 ** ** ** ** ** ** ** *   43   33 1025.5 30.28 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601032300 050   9 ***  59 BKN * * * 10.0 00 ** ** ** ** ** ** ** *   42   32 1025.8 30.29 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601040000 050   8 ***  79 BKN * * * 10.0 00 ** ** ** ** ** ** ** *   40   30 1026.2 30.30 ******  43 *** *****  0.00 ***** ***** **
727976 24217 198601040100 020   6 ***  79 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   37   30 1026.5 30.31 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601040200 020   5 *** 722 SCT * * * 15.0 00 ** ** ** ** ** ** ** *   35   29 1026.5 30.31 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601040300 030   8 *** 722 SCT * * * 10.0 00 ** ** ** ** ** ** ** *   34   28 1026.3 30.30 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601040400 050   9 *** 722 SCT * * * 10.0 00 ** ** ** ** ** ** ** *   35   27 1026.3 30.30 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601040500 040  10 *** 722 SCT * * * 10.0 00 ** ** ** ** ** ** ** *   34   27 1026.3 30.30 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601040600 040   9 *** 722 CLR * * * 10.0 00 ** ** ** ** ** ** ** *   33   28 1026.3 30.30 ******  43 *** *****  0.00 ***** ***** **
727976 24217 198601040700 040   6 *** 722 CLR * * * 10.0 00 ** ** ** ** ** ** ** *   33   28 1026.7 30.31 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601040800 040   7 *** 722 CLR * * * 10.0 00 ** ** ** ** ** ** ** *   32   28 1026.7 30.31 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601040900 040   6 *** 722 CLR * * * 15.0 00 ** ** ** ** ** ** ** *   30   27 1025.3 30.27 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601041000 050  11 *** 722 CLR * * * 15.0 00 ** ** ** ** ** ** ** *   34   28 1024.6 30.25 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601041100 030  11 *** 722 CLR * * * 15.0 00 ** ** ** ** ** ** ** *   33   26 1024.3 30.24 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601041200 ***   0 *** 722 CLR * * * 15.0 00 ** ** ** ** ** ** ** *   33   26 1024.3 30.23 ****** ***  30 *****  0.00 ***** ***** **
727976 24217 198601041300 040   9 *** 722 CLR * * * 15.0 00 ** ** ** ** ** ** ** *   33   26 1023.3 30.21 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601041400 040   9 *** 722 CLR * * * 15.0 00 ** ** ** ** ** ** ** *   34   25 1022.2 30.18 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601041500 050  10 *** 722 CLR * * * 15.0 00 ** ** ** ** ** ** ** *   34   25 1021.5 30.16 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601041600 050   8 *** 722 CLR * * * 40.0 00 ** ** ** ** ** ** ** *   32   24 1020.8 30.14 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601041700 040  10 *** 722 SCT * * * 40.0 00 ** ** ** ** ** ** ** *   35   24 1020.4 30.13 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601041800 040  11 *** 722 SCT * * * 40.0 00 ** ** ** ** ** ** ** *   38   25 1020.1 30.12 ****** ***  30 *****  0.00 ***** ***** **
727976 24217 198601041900 040   9 *** 722 BKN * * * 40.0 00 ** ** ** ** ** ** ** *   41   25 1019.6 30.10 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601042000 040   9 *** 722 BKN * * * 40.0 00 ** ** ** ** ** ** ** *   44   25 1018.2 30.06 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601042100 040  11 *** 722 OVC * * * 40.0 00 ** ** ** ** ** ** ** *   44   24 1017.1 30.03 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601042200 040  11 *** 722 SCT * * * 40.0 00 ** ** ** ** ** ** ** *   44   24 1017.1 30.03 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601042300 050  11 *** 722 OVC * * * 40.0 00 ** ** ** ** ** ** ** *   42   23 1015.1 29.97 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601050000 020  14 *** 722 OVC * * * 40.0 00 ** ** ** ** ** ** ** *   41   22 1013.7 29.93 ******  44 *** *****  0.00 ***** ***** **
727976 24217 198601050100 040   9 *** 197 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   41   22 1012.7 29.90 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601050200 040   8 *** 197 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   40   22 1012.4 29.89 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601050300 040  14 *** 197 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   41   22 1011.4 29.86 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601050400 050  16 *** 197 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   42   22 1010.7 29.84 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601050500 070   6 ***  98 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   42   22 1010.7 29.84 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601050600 050  10 ***  34 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   40   27 1010.0 29.82 ******  44 *** ***** ***** ***** ***** **
727976 24217 198601050700 050  14 ***  39 OVC * * * 15.0 61 ** ** ** ** ** ** ** *   39   29 1009.7 29.81 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601050800 050  11 ***  39 OVC * * * 15.0 61 ** ** ** ** ** ** ** *   39   30 1009.3 29.80 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601050900 040  14 ***  40 OVC * * * 15.0 61 ** ** ** ** ** ** ** *   38   30 1008.6 29.78 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601051000 060   8 ***  44 OVC * * * 15.0 61 ** ** ** ** ** ** ** *   38   31 1008.3 29.77 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601051100 050  11 ***  44 OVC * * * 15.0 61 ** ** ** ** ** ** ** *   38   33 1007.3 29.74 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601051200 050  14 ***  33 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   38   32 1006.9 29.73 ****** ***  38 *****  0.08  0.08 ***** **
727976 24217 198601051300 360   8 ***  33 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   38   33 1006.2 29.71 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601051400 020   6 ***  33 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   38   33 1006.2 29.71 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601051500 040   9 ***  30 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   38   33 1006.2 29.71 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601051600 180   9  29  34 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   51   42 1006.2 29.71 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601051700 180  15 *** 295 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   51   41 1007.2 29.74 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601051800 180  21  28  49 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   52   41 1007.6 29.75 ****** ***  38 *****  0.00 ***** ***** **
727976 24217 198601051900 180  16 ***  49 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   53   41 1007.6 29.75 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601052000 360  14 ***  44 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   41   34 1006.9 29.73 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601052100 010  10 ***  30 OVC * * * 10.0 61 ** ** ** ** ** ** ** *   41   34 1006.2 29.71 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601052200 030   7 ***  30 OVC * * * 15.0 61 ** ** ** ** ** ** ** *   40   36 1004.9 29.67 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601052300 050   8 ***  30 OVC * * * 15.0 61 ** ** ** ** ** ** ** *   40   37 1004.9 29.67 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601060000 120  10 ***  30 OVC * * * 15.0 00 ** ** ** ** ** ** ** *   44   40 1004.2 29.65 ******  53 *** *****  0.08 ***** ***** **
727976 24217 198601060100 160  17  29  30 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   52   40 1003.9 29.64 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601060200 180  21  34  25 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   51   41 1003.5 29.63 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601060300 170  23  34  25 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   51   40 1002.5 29.60 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601060400 190  23  32  27 BKN * * * 15.0 00 ** ** ** ** ** ** ** *   51   40 1002.8 29.61 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601060500 190  29  40  27 OVC * * * 10.0 80 ** ** ** ** ** ** ** *   49   40 1003.5 29.63 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601060600 180  23  29  24 OVC * * * 10.0 80 ** ** ** ** ** ** ** *   46   40 1005.9 29.70 ******  53 *** *****  0.01 ***** ***** **
727976 24217 198601060700 190  16  26   9 OVC * * *  7.0 81 ** ** ** ** ** ** ** *   45   41 1007.7 29.75 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601060714 220  11 ***  12 OVC * * *  7.0 61 ** ** ** ** ** ** ** * **** **** ****** 29.79 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601060800 250  15 ***  13 OVC * * * 10.0 80 ** ** ** ** ** ** ** *   46   42 1011.0 29.85 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601060900 210  11 ***  31 OVC * * *  7.0 63 ** ** ** ** ** ** ** *   45   41 1013.7 29.93 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601061000 260  11 ***  33 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   46   40 1017.4 30.04 ****** *** *** ***** ***** ***** ***** **
727976 24217 198601061100 230   8 ***  33 OVC * * * 10.0 00 ** ** ** ** ** ** ** *   46   40 1019.8 30.11 ****** *** *** ***** ***** ***** ***** **
