  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727937 ***** 199701010000 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010045 120  21 ***  46 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   48   45 ****** 29.11 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010100 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010145 120  21  29  46 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   48   45 ****** 29.06 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010200 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010247 130  15  23  49 OVC * * *  7.0 61 ** ** ** ** ** ** ** *   50   45 ****** 29.04 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010300 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010345 130  14  21  30 OVC * * *  5.0 63 ** ** ** ** ** ** ** *   48   46 ****** 29.01 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010400 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010445 160  15  21  34 OVC * * *  5.0 63 ** ** ** ** ** ** ** *   52   46 ****** 28.99 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010500 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010600 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010700 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010800 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701010900 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701011000 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701011100 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701011200 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701011300 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701011400 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701011445 190  18 ***  28 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   54   43 ****** 29.35 ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701011500 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727937 ***** 199701011545 190  19 ***  20 OVC * * * 20.1 ** ** ** ** ** ** ** ** *   52   45 ****** 29.37 ****** *** *** ***** ***** ***** ***** **
